texts,tags
สำหรับงานวันนี้ 5555555555555555 ดื่มหรืออาบครับโทษที ขัดใจที่ตรงออฟฟิศนี่ดื่มสิงห์ .... //meดื่มไฮนิเก้น,neg
สำหรับประเทศไทยเปิดตัวรุ่นซุปเปอร์คลับ ย้อนยุคแล้ว..??? แผนการทำตลาดรถฮอนด้าตามหลังค่ายอื่นเยอะมากช่วงนี้,neg
"แสงโสม"" ทำให้คนกลายเป็นผี แสงสี"" ทำให้ผีกลายเป็นคน #แคปชั่นเด็ดแคปให้ด้วย #เสี่ยวสัสกากมะพร้าวราวตากผ้า #",neg
ห้างโล่งแบบว่าเข้าห้องน้ำแล้วจะฉี่ดังแค่ไหนก็ได้อ่ะคือไม่มีคนเลย 5555555555555 #เราอาจจะมาเร็วไป # showdc,neg
หายข้องใจ!! ซื้อฮอนด้าซีวิค มาทำแท็กซี่ แต่เจอดราม่า กูรูรถเฉลยชัด..? ค่ายรถมีสิทธิ์ซื้อคืนได้ จริงหรือ!?,neg
เห็นแก่เงิน ขาดความรับผิดชอบต่อสังคม อ้างแต่ต้องการเงิน เลี้ยงลูกเลี้ยงแม่ dr.jill ก็คงถูกจ้างมาเหมือนกัน,neg
อันนี้เคลมว่าไม่มีแอลน่ะค่ะ จริงๆแบรนด์ไทยนะ ถ้าจำไม่ผิด 5555555 คือเค้าบอก non chemical เราเคยใช้บิโอเร…,neg
อาชญากรรมทางการแพทย์.. หลอกลวงคนไข้ผ่าตัด ตัดหมอนรองข้อเข่าอำพราง รพ.กรุงเทพภูเก็ตปลอมเวชระเบียน ตอนที่๑.,neg
อ่านเงื่อนไขshow cd อีกรอบ มึนๆๆงงๆๆ แต่ก่เดินออกจากบ้าน กำลังไป show dcล่ะ ว่าแต่ให้ตรูช็อปไรเนี่ย!!!!!!,neg
เอาจริงๆ เมื่อก่อนมีเป็นหมึกกระดองยัดไส้นะครับ อร่อยมาก เดี๋ยวนี้ไม่เห็นมีแล้ว เปลี่ยนเป็นหมึกตัวยาวๆซะละ,neg
เอาจิงๆเราว่าไม่แพงนะ เราไปกิน MK 15 คนหมดเป็นหมื่น ถ้าอยากได้ถูกๆก็ซื้อมาทำเองคะ ความเห็นส่วนตัวงดดราม่า,neg
เอาใจคอเบียร์ สำหรับสาวๆสาวก Hoegaarden 🍷🍸 มั่วแต่มองไม่ลองหน่อยหรอจ๊ะ 😍 #HorgaardenRose #วันวานบางแสน,neg
ไอ้พวกผลประโยชณ์มันเยอะประเทศเราแล้วแม่งก็ไม่ค่อยจะยอมรับความเปลี่ยนแปลงอะไรที่คนอื่นประเทศอื่นเค้ายอมรับ,neg
Official ปกติใช้บาบาล่าเบอ1 อมชมพู ดูสวยเนียนนนเข้าหน้ามากกกก แต่พอมาใช้เจ้านางเบอ2 คือมันเหลืองมากกกกกค่ะ,neg
Shisedo แบบที่ขายทั่วไปจะไม่แพงมากอ่ะ ถ้าเคาว์เตอร์ก็จะแพงนอกนั้นไม่แน่ใจมี่เคยได้ยินคือ ipsa /พี่สายฝรั่ง,neg
"show dc ช็อป 5,000 บาทแลกบัตรได้ 2 ใบ ประเด็นคือมา 4 วงแต่ละวงจะได้กี่เพลง? ถ้าได้แค่ 3-4 เพลงนี่ไม่คุ้มนะ",neg
กานิเย่แพ้ยันมือ เคยเอาโฟมของแม่มาลองใช้ มือลอกไปด้วย แรงเกิน แล้วตอนล้างนี่ใช้ perfect weep นี่ก็ได้ใช้มะ,neg
กินยานอนหลับไปแผงนึง กับสเมอนอฟ ก็ยังหลับไม่ทันใจเท่าที่พ่อแม่อยากได้สักที กุเป็นimsomniaนะ ไม่ได้เป็นหวัด,neg
กูเบื่อเอ็มเคคือตอนนี้เหมือนบ้านหลังที่สองจริงๆเมื่อวานก็ไปพน.ยังจะไปอีกหรอ ?!?!? พ่อคะะะขอที่อื่นบ้างงงงง,neg
ขอถามคะ ในรูปเป็นแก้วอีกแบ ตอนสั่งใส่แก้วพลาสติก นั่งกินยุในร้าน ทำไมได้แก้วพลาสติกอะคะ #Mk โลตัสพระรามสาม,neg
คนไทยไม่ได้แดกหญ้าครับ >>> ประชาธิปัตย์ โต้เพื่อไทย ปมเป่านกหวีด ล้มรัฐบาลเลือกตั้ง โวยขุดความเท็จใส่ร้าย!,neg
แค้นอีโรงบาลพญาไท 1 เอาแมคโดนัลด์ออกไปทำม้ายยยยยย อยากเปลี่ยนที่อ่านนส.ก็เปลี่ยนไม่ได้ เพราะปกติก็ไปแค่แมค,neg
ดูจากราคา มันก็โคตรแพงจริงๆแหละครับ อย่ามาแก้ตัวเลย...เบียร์ช้างขวดละ 120...น้ำเปล่า 50 ทุกอย่างเหมือนจะx2,neg
แต่ถ้าเรื่องการซึมซับ เราชอบลอรีเอะซูเปอร์อัลตร้าสลิมกลิ่นซากุระมากกว่า ถึงกาวจะไม่เหนียวเท่าก็เถอะ 😂😂😂,neg
เทคนิคการหาเสียง เหมือนตอนปราศัยใหญ่ราชมังฯ จนป่านนี้กองทุนน้ำมันยังอยู่ รถไฟฟ้าก็ไม่เคยราคา 20 บาทตลอดสาย,neg
นิสสันถ้ามีของในสต็อกสั่งวันนี้พรุ่งนี้ได้ของครับ ถ้าเป็นโชว์รูมในเขตกรุงเทพบางทีสั่งเช้าบ่ายมาถึงแล้วก็มี,neg
เบียร์ช้างชิบหายอะไร 3 ขวด 360 รวยตายห่าแล้ว คนธรรมดาจะไปแดกได้ไหมเนี่ย คนไปเที่ยว เขาไม่ได้รวยหมดทุกคนน่ะ,neg
เป็นห่วงที่บ้านมาก แม่บอกฝนตกตลอดเวลา ได้ยินเสียงสะเทือนไปทั่ว กลางคืนคือน่ากลัวมาก พายุเข้ารอบนี้หนักจริง,neg
โปรสุขนัวท่านก้อน จัดมา สูอย่าเสียเวลา อิ่งอ้อย ประกาศกึ่งราคา เพียงครึ่ง เร็วเร่งงดชม้อย ชะม้ายชายตา 🤫🤫,neg
ไปเชียงใหม่ก็ระวังตัวกันเองนะครับ ต่อให้ขับมาแบบถูกกฏหมายแต่คนเชียงใหม่ขับเส้นทึบเยอะ เนี่ยสังคมเห็นแก่ตัว,neg
ผมว่าคุ้มมากๆคับ ปกติคือผมไม่ชอบToyotaสักรุ่นเลย แต่chrมันโอเคกว่าzsพอสมควรในภาพรวม เพิ่ม2แสน จัดว่าคุ้มฮะ,neg
แพ้ผ้าอนามัยโซฟีอิดอก เหี้ยมาก ผื่นขึ้นตูดแบบบ ไม่โอเคอะมึง จะทาแป้งก็มองไม่เห็น จะวานแฟนทาให้ก็เกรงใจ5555,neg
เรียกไม่ได้ค่ะ สรุปไม่ใช่พยาธิแต่เป็น Chronic inflam. Abcess เนื้อเป็นหนองมาเสิร์ฟลูกค้า ก็ถือว่าไม่ควรค่ะ,neg
เรื่องเหล้าของวันวาน ปล.ขิ่นแม่งอ่อน #เหมียวบุญมี #เหมียวมะขิ่น #เหมียวเตนล์ #텐냥 #tigerjamsth #tigerbeerth,neg
ลอรีอัลจะดันรีวิวครีมหนักไปละ รกฟี้ดชห แต่ก่อนที่ทวิตเตอร์ยังไม่มีคนรับรีวิวเยอะขนาดนี้มันสบายตาว่านี้เยอะ,neg
สั่งจอง civic 1.5 rs ไป เดือนกว่าๆแล้ว ยังไม่มีวี่แววว่ารถจะมา 😭😭😭 เซลล์ก็บอกรถผลิตอยู่ ให้ รอ รอ รอ รอ,neg
สิงห์แม่ง ปีที่แล้วช่วงปีใหม่ ออก U-beer ปีนี้แม่งออก snowy weizen โครตตตตดี ตลาดเบียร์แม่งจะได้เปิดกว้างง,neg
อยากกินแมค 89 บาท แต่คิดว่าแพงเลยแวะร้านข้าวหน้าปากซอย สั่งต้มจืดไข่น้ำ ถถถถ 70 บาท ! รู้งี้ไปกินแมคดีกว่า,neg
อีดอก ฟูลมูนครึ่งขวดคือหน้าร้อน ทีหลังเขินใครก็แกล้งทำมุกน้องดื่มแอลกอฮอล์มาค่ะ หน้ามีความระเรื่อค่ะะะะะะะ,neg
เอ้าไหนบอกจะสงเสริมเรื่องสุขภาพ งั้น พวกเด็กอย่างผมที่ห่าวติดบุหรี่ ก็ คงต้องดูด บุหรี่มวน ต่อไปใช่มั้ยคับ,neg
แอดมินนี่หลอกง่ายน๊ะ เมี่อวานซื้อช้างแดกขวดนึง 56 บาท ขึ้นมาสามบาทเอง อย่ารีบเชี่ออย่ารีบแชร์ ( เสียภูมิ ),neg
Toyata viosพอเพราะถ้าได้รถแพงค่าใช้จ่ายก็แพงพอกัน จอแบบขับได้นานๆประหยัดๆพอ แล้วเราจะไปด้วยกันให้ถึงจุดหมาย,neg
กานิเย่สอนให้รู้ว่า อย่าริอาจใช้ตอนที่หน้ามึงไหม้แดดมาก ไม่งั้นกูจะกัดจนแสบ อีควย โคตรพ่อโคตรแม่แสบ 5555555,neg
กำลังจะหยิบขวด Jack Daniel's ในตู่เย็น .....แต่เสือกวางอยู่ข้างๆขวดซี้อิ้ว #ไม่ต้องบอกใช่ไหมว่าเกิดอะไรขึ้น,neg
กินสปายแล้วมีเม็ดแดง ๆ ขึ้นหน้าอกกับหลังเลยไปเสิร์ชวิธีรักษาในพันทิป สรุปมีคนบอกไทรอยด์เป็นพิษ อห จะร้องไห้,neg
"กู้ดอินนิสฟรีแจฮวานในอีเบย์ขาย 45,99$ ...นี่ปาดเหงื่อไม่พอ ปาดน้ำตาอีก โง้ยยยยย ทำไมอัพราคาแพงแบบนี้ 😭😭😭",neg
ความคิดเรื่องปฏิรูปที่ดินแทบจะเป็นไปไม่ได้เลย เพราะคนถือครองที่ดินมากที่สุดในประเทศนี้คือ สำนักงานทรัพย์สิน,neg
คำตอบคือผ้าอนามัย เวลาเป็นปจด.สังเกตเวลากาวออก กกน.จะเป็นขุยบ่อยๆ+ซักเวลาขยี้ด้วยความที่ผ้ามันบางเลยขาดง่าย,neg
ใครดื่มเรด/แบล็ค เราเตือนเพื่อนบ่อยมาก เหล้ามาผสมน้ำ ไม่ปลอม แต่เจือจาง ตระกูลเลเบิลเราไม่ดื่มมาเป็นชาติล่ะ,neg
เงินเดือนกินชาบู กินเอ็มเค แป๊บเดียวก็หมดไปแล้วพันนึง ถ้าเอามาลงทุนต่อยอด ได้เงินทุนคืน แถมได้กำไรอีก !!...,neg
จริงๆเเล้วอาจเสียเงินจ้าง ไห้เจ้าเหลมพูดว่าฟอจูนเนอร์เป็นรถในฝันครับ เเล้วก็จ่ายเงิน+ รถ เป็นค่าจ้างคับครับ,neg
จริงหนูใลอรีเอะสีขาว คือแบบเลิกใช้เลย ทั้งๆที่ชอบอันนั้นมาก แต่ว่ามันกาวแน่นไปอ่ะบางที แน่น้กินไป แกะไม่ออห,neg
เบื่อ คงต้องกินบาบิก้อน 900กง่าบาทแล้วไปต่อสเว่นเซ่น ดูหนัง เสื้อปาดไหล่สีน้ำเงิน หรือเสื้อยืดลายทางแล้วล้ะ,neg
เป็นเหี้ยไรมาบอกให้สทศ.ไปเลื่อนสอบเด็กเอาเอง พอเขาจัดการเรียบร้อยมึงก็เลื่อนหนีวันไปอีก #เลื่อนแม่มึงสิ สัส,neg
ไปห้างแถวๆบ้านนี่เองครับ ผมจำอะไรไม่ค่อยได้เลยพี่ จำได้ว่าไปกินเอ็มเค คือผมง่วงมากแบบมากที่สุด หน้าจะจุ่มห…,neg
มันมีหลายรสน่าลองwww ฟูลมูนเคยเห็นแม่กินแต่ยังไม่เคยเลยค่ะ u u นี่ถ้าติดมหาลัยจะลองหลายๆรส /แล้วก็เมาแตก---,neg
ยกเลิกรายการอาหารไปสองสามอย่าง...วันก่อนไปกิน..เราชอบกินซากุระเห็ดหอมมากๆๆๆๆๆๆๆ....ยกเลิกทำไมคะ...เด้าใจ!!!,neg
ห้องมีกลิ่นบุหรี่ ไม่ปรับปรุงทาสีใหม่ โรงแรมติดต่อกับอโกด้าไม่สะดวก ต้องคุยกันเรื่องการจองผ่านเว็บหลายครั้ง,neg
องมินคือแบบ เวนเอ้ย ฮือออๆๆๆรกากยกนกนดขแนบดนกลกุรักอินนิสฟรีช่วยด้วยอฃมินเตมไปหมดแน้วฮทอกุมือสั่ยกาวๆสกวแยเ,neg
อยากรู้ว่าเดี๋ยวนี้ฮอตพอตรสชาติและความอร่อยดีกว่าเมื่อก่อนมั้ย เคยกินเมื่อ6ปีที่แล้ว รู้สึกไม่ประทับใจเลยยย,neg
อะไหล่ honda และ PART jazz GD GE GK โหเล่นผมไปไม่เป็นเลยครับพี่^^ งานเข้าเยอะๆน่ะครับ สวัสดีปีใหม่ครับพี่^^,neg
อันนั้นป๋องใหญ่อ่ะหกสิบกว่าบาท แพง ลองป๋องละสามห้าก่อน 5555555 อันนั้นหร่อยแมะ มีแต่คนบอกว่าเคยกินแต่ป๋องดำ,neg
อ่าววพี่นาว 5555555 นี่ไม่กล้าใช้พวกที่มาสก์อะไรเลยค่ะ แพ้ง่ายมากๆ ขนาด SkII ก็แพ้เลย อิจฉาพี่นาว ไม่ต้องใ…,neg
อีกอันที่hard saleโดยดาราจนรู้สึกไม่เชื่อในคุณภาพคือdr. jill มันดูไม่น่าซื้ออ่ะ พอไปขายทุกรายการทีวีขนาดนี้,neg
อีผ้าอนามัยcooling fresh นี่มึงจะทำแบบไม่มีกลิ่นออกมาหน่อยไม่ได้หรอ ใส่ทีคนเขารู้หมดว่ากูเป็นเมนส์ อีเวนนนน,neg
6-7 แสนให้ออกวีออส เหรอ ผมคนหนึ่ละไม่เอาแน่ เอาเงินไปซื้อ เบนซ์ E220 cdi มือ2 ปี 2004 -2008 มาขับดีกว่า ครับ,neg
Dmax G1 ที่บ้าน 15 ปีเครื่องเดิมๆไม่เปลี่ยนไม่เคยมีปัญหา ซื้อใหม่อีกคันสงสัยคงต้องเอา Dmax กลับมาพิจารณาใหม่,neg
ขึ้นรถก็มาแล้วอ่ะ คือเขย่าเป็นเซียมซีเลย ไม่ไหวมาก ช่วงนี้คือบาย สเมอนอฟยังไม่ค่อยอยากจะกิน เหมือนตับพังไปละ,neg
ความซื้อเหล้าซื้อเบียร์สปายฟูลมูลมาอย่างละสี่ขวดยกเว้นเหล้า แล้วทำไมนุ้งไม่ได้กินเหล้าา เบียร์มันไม่สะใจจจจจ,neg
จ่ายตรงเพิ่มเน็ต ทำสัญญาณเน็ตไม่ให้หายก่อนดีมั้ยครับ เนี่ยต้องเชื่อมฮอทสปอร์ทจาก ais ถึงเล่นได้ มันยังไงครับ,neg
เจ้ว่าการ์นิเย่แอบแรงนิสหน่อย เคยใช้โยเกิร์ตไม๊ พรุ้งนี้ลองพอกหน้าดูทำให้หน้าสบายขึ้น นุ่มขึ้น หายไวไวน๊าาาา,neg
ช่วงต้นเดือนก็ดีหรอก พอกลางๆเดือนแค่วิดีโอในเฟชยังสะดุดเลย ไหนบอกเน็ตไม่ลดสปีด จ่ายเดือนตั้ง700 ไม่เห็นดีเลย,neg
เซเว่นลดราคาโซฟีแบบเย็นอ่ะ เหลือห่อละ 10 บาท แต่นี่ไม่ใช้โซฟีและแบบเย็น 😩 ลอลิเอะกลิ่นซากุระทำไมไม่ลดบ้างงง,neg
แต่ๆๆๆๆๆๆๆก็ไม่ดีอยู่ดีอ่ะที่เอามาเสริฟลูกค้า สรุปมันคือฝีหนองป่ะอ่ะ😂 แต่ก็ดีนะ ทางบาบีก้อนเทคแอคชั่นเร็วดี,neg
ถ้าพกเครื่องเดียวปรับ1000-5000แค่นั้นครับ ปรับเป็นแสนมันกฏหมายผู้ขาย ถ้าจริงนายเจอตำรวจเหี้ยที่มีแค่1%แล้วละ,neg
นิสสันมีของดี แต่ขาดความกล้า กว่าจะเอาเข้ามาขาย รอ รอ รอ รอจนมีคู่แข่ง แล้วลูกค้าก็หันไปซื้อยี่ห้ออื่นกันหมด,neg
นี่ก็เป็น ถ้าน้ำปกติกินเนดเล่ย์กับคริสตัลแต่น้ำแร่กินออร่ากับมิเนดเรย์บ้างสลับกัน ส่วนที่ไม่กินเลยคือสิงห์😂,neg
เนื่องจากวันเกิดเซฮุนมายเมน🌈 แจก ลิปHolika Holika RT+ฟอลหรือไม่ฟอลก็ได้ เสือกสีได้เองเลย ประกาศ 19/04/2560…,neg
บุนบาปอะไรของอีแยม ไปแดกบาบิก้อนวันนี้ทำไม พรุ่งนี้พี่จะเลี้ยงหมูสองชั้น ไม่น่ารีบเสียตัง อิเวร อยากแดกล้วนๆ,neg
เป็นลูกค้ารายเดือนมาตั้งสิบกว่าปี ถืออยู่ก็ 3 เบอร์ ดันไม่ง้อลูกค้าเก่า ถถถ ลาก่อนจะไปทำเรื่องย้ายค่ายวันนี้,neg
เปิดคนให้ด่าได้แล้วหรอคะ แหมมม อิห่า เปิดราคา CHR กลัวขายดีหรอคะ ดูรถที่ราคาสมเหตุสมผลที่สุดตอนนี้คือ sienta,neg
มะวานเห็น suzuki swift 2018 แล้วอยากได้ น่ารักดี แต่ราคาไม่น่ารักเลย ตัวเริ่มต้นจะเท่ารุ่นเราตัวท้อปอยู่แล้ว,neg
เมื่อกี้ไปซื้อเบียร์ร้านขายส่งแถวตลาด เบียร์ขึ้นราคาแล้วอะ ปกติซื้อช้างใหญ่ขวดละ49 ตอนนี้ 52 แล้วอะ แง่งงงงง,neg
ยาริด ซีวิค ก็มี แคมมีรี่ ดีดี เค้ามีได้ยังไง เงินเดือนแค่ หมื่นกว่าบาท ใชเงินอย่างกระดาษ คุณเอาเงินมาจากไหน,neg
ลาบลุงน้อยนี่พวกเหี้ยเลิกคาบเช้า ยกแสงโสมไปกลมนึง น้ำแข็งฟรีน้ำเปล่าฟรี แดกตอนเที่ยงแล้วเมามาเรียนคาบบ่ายต่อ,neg
เวลาบอกว่าฟังเพลงเกาหลี ทำไมชอบมองว่ามีแค่เคป๊อปวะ กุฟังอย่างอื่นไม่ได้รึไง เกาหลีไม่ได้มีแค่เคป๊อปโว้ย กุรำ,neg
เออพนักงานเอมเคช้าทุกทีเวลาเอาใบเสร็จมาให้ ไม่รู้จะช้าไปไหน คืออยากกลับบ้าน หิวน้ำเพดานจะพัง พงชูรสเยอะเกิ้น,neg
Toyota Fortuner ออกแบบมาได้ยังไง โตโยต้าควรคิดสักนิดนะคะ ก่อนจะออกแบบรถมาขาย ส่องมามองไม่เห็นอะไรเลย นอกจากไฟ,neg
X trail หรือ Rogue รถ suv ที่ขายดีที่สุดในโลก แต่ nissan ไทยดูเหมือนไม่อยากจะขาย เปิดตัวก็ช้า การตลาดงงงวยมาก,neg
เค้าแพงสุดตัวไหนมะรุ ราคาแบบซื้อลดมาทั้งนั้น ถ้าราคาเต็มก็เอาเรื่องอยู่ แง naked3 ราคาในเซโฟก็เฉียด too faced,neg
ได้ฮอนด้าปลอมป่าวครับ​ ปกติฮอนด้าขึ้นชื่อเสียงนอกรถเข้ามานะครับ​ จอดติดแยกไฟแดงพี่วินคุยกันยังได้ยินเลย🐒🐒🐒,neg
เต้าเจียวหรืออะไรที่ไข่ไก่ เค็มมากค่ะ น้ำซุปก็ค่อนข้างเค็ม บอกตรงว่าไม่กล้ากินอีก ต้องเปลี่ยนอาหารจานเดียวแทน,neg
โตโยต้ารีโว่กระจังหน้าใหม่ ขยับความดุดันใกล้ฟอร์ดแระ แต่อะไหล่หาง่าย ซ่อมง่าย ไม่แพง ยังไงคำตอบอยู่ที่โตโยต้า,neg
นโยบายข้อหนึ่งของพรรคสามัญชนคือยุบ กอ.รมน. ครับ เป็นหน่วยงานที่มีวิธีคิดมองเห็นประชาชนเป็นศัตรูของรัฐตลอดเวลา,neg
นิสสันทำการตลาดล่าช้ามาค่ายอื่นขายกันเกลื่อนนิสสันเพิ่งจะเริ่ม..เข้าใจองค์กรใหญ่แต่ไม่ถูกใจสาวกนิสสันในไทยเลย,neg
"ผมว่าต้องลดราคาลงหน่อยนะ ผมกับเมียกับลูกไป ชาบูชิ พันนึง อิ่มแปร้ แต่เอมเคต้อง 1,400-1,500 ถึงจะอิ่ม 🤪🤪🤪🤪",neg
มันเจ็บใจ! ตรงที่กำลังจะหันมาตักใส่ถ้วย แล้วหมูก็หายไป T^T #HOTPOTBUFFET #DIYBUFFET #สนุกเต็มที่อร่อยเต็มอิ่ม,neg
เมื่อก่อนลิ้นแยกรสเบียร์แบลลาเก้อของแต่ละยี่ห้อไม่ได้แต่พอได้กินเบียร์ยูกุก้แยกได้เรย อิห่า รสชาติเหี้ย555555,neg
รักอิสระทำให้เราอยากกินพิซซ่า ยาคูล ชีสไบท์ ไวล์มอลปั่นใส่มุก หมูกระทะ และช้างอีกลัง ...อันหลังไม่ดีมั้ง 5555,neg
ลิปMamondeรอบแรกที่มาแล้ว ขอจัดส่งหลังกรานต์นะคะ กลัวค้างที่ ปณ. มีโอกาสสินค้าเสียหายสูงมาก ไม่อยากให้ค้างนาน,neg
แล้วทำไมอะทำไมที่บ้านต้องมากินเอ็มเคกันในวันที่มีไลฟ์มาม่าอะอยากกินมาจะสองอาทิตย์แล้วดันมากินไรกันวันนี้อะฮือ,neg
และบางวันที่รู้สึกถึงผิวโทรม ดูอ่อนล้า แห้งเสียเป็นพิเศษให้สลับมาตบเบาๆ ด้วย Hada Labo Premium Lotion นะคะ :),neg
เวลาเหนตำหนวด หรือ เจอด่านที่นี้ แทนที่จะอุ่นใจแต่กลับรุ้สึกอีกแบบ ไม่รุ้ว่ามันจะหาเรื่องอะไรไถ่ ปชช. 5555555,neg
สัณญาณ​ห่วยมากครับ ไม่คุ้มกับเงินที่เสียรายเดือนเลย​ติด​ๆดับ​ ใช้โทรศัพท์​ 2​ เครื่องก็เป็น​ทั้ง​ 2​ เครื่อง​,neg
เหี้ยแล้วไง....เบียร์ช้างป๋องยาวช่วงนี้เราดื่มประจำด้วย....ไอ้พวกเจ๊กเหี้ย..มึงก็ปลอมกันได้ทุกอย่างเนอะ😑😑😑,neg
อยากกรี๊ดกับลาซาด้ามาก บลัชของเมเบอลีนอยากได้มานานลด50%ก็กดสั่งไปพอชำระเงินบอกของหมด อิเหี้ยยยยยยยยยยยยยยยยยย,neg
อัลติส2012 1.8e lpgหัวฉีด ตอนเช้าสต๊าดติดง่าย พอจอดพัก10นาทีสต๊าดติดยากมากเกิดจากอะไร (สต๊าดน้ำมัน ขอบคุนคับ),neg
ไฮเนเก้นในเซเว่นแก้ขัดไปก่อนค่ะ เวลาเสี้ยนมาพี่ก็ข้ามถนนน้อย ๆ ไปซื้อในร้านโชว์ห่วยตรงข้ามตึกนี่ล่ะค่ะ 555555,neg
กินไรระวังๆด้วย เป็นเรื่องนี้บ่อยอะ แต่ว่สต้องหาเวลาไปกินบาบิก้อนนะเดี๋ยวจะยาวจนถึงจองบัตรรอบหน้าซะก่อน5555555,neg
"ขนาดนั้นเลยเหลอเมืองไทย ดีจ้าเลิกทั้งเมืองไทยก็จะดีนะ เลิกเบียร์ช้าง, สิงห์ กะทิงแรด..ประชาชนจะใด้ตายน้อยหน่อย",neg
งานโคฟของ show dc นี่วงลงเยอะมากเลยนะ แล้วก็เทหลายวงเหมือนกัน แบบรู้สึกว่างานนี้คือหลายๆอย่างไม่ค่อยโอเคเลยอ่ะ,neg
ซีตี้สวยเเต่เสียดายจอ LED ไห้มากากมากก.. รุ่นก่อน miner สวยกว่า # วีออสก็สวยดีเเต่เสียดายกะจังหน้าอย่างเดียว..,neg
เดี๋ยววววววงวว มึ้งงงงงงงงง กุลื้มมมมม กุยังไม่พร้อมมมม มึงตัดตังกุแร้วววเหรออออออ นี่กุต้องดูต่อสินะ #Netflix,neg
ตัวเดียวกันนี้ แต่พอเมอร์เซเดสเอาไปออกแบบใหม่ทำไมสวยขึ้นผิดตา ทีมออกแบบนิสสันประเทศไทยควรพิจารณาตัวเองเถอะครับ,neg
บริการมึงห่วยมาก เปลี่ยนแพ็คเก็จผมโดยไม่ได้แจ้งเจ้าของและยังม่เรียกเก็บอีก 400 กว่าบาท ใครจะใช้ทรูคิดให้เยอะๆไ,neg
ประตูเหล็กทับคนตายอะน่ากลัว น่าจะช่วงที่เจบีเจออกมากินเอ็มเคด้วย ไม่รู้ว่าผู้จะเห็นไหม แต่แม่งประตูอย่างใหญ่อะ,neg
ผมก็เป็นตอนขับวีออส เติมตอนขีดมันกระพริบ 300บาทขีดแทบไม่ขึ้นเพราะมันเข้าไปแทนที่ส่วนทีหายไปของ10ลิตรที่กระพริบ,neg
ผ้าอนามัยยี่ห้อ elis คือดีจริง ใส่โคตรสบายอ่ะ จนเเบบกลับมาใส่เเบบกลางคืนของยี่ห้อก่อนๆเเล้วรู้สึกรำคาญไปเลยอ่ะ,neg
เมื่อวานไปกินชุดเต็มเตาหมู แต่ไม่มีเกี้ยวซ่าแถมอ่ะ ได้เห็ดทอดมาแทน เค้าเสียใจมากเลยก้อน อยากกินเกี๊ยวซ่า😢😢😢,neg
รีวิวผ้าอนามัยสูตรเย็น แบบสั้นๆนะ ' ตัวอยู่แอฟริกาจิ๋มอยู่ขั้วโลกเหนือ ' อีดอก หนาวจนจิ๋มชาไปหมด 5555555555555,neg
วอนปีหน้าฟลูมูนแสงโสมปรับเรทอายุลงด้วยค่ะ สงสารคนอายุไม่ถึงแบบหนูบ้าง งานedmที่ตปท.บางงานนี่18เข้าได้แล้วนะคะ!,neg
หลังจากเจอคนที่ไม่ชอบขี้หน้าในช็อป innisfree ทุกครั้งหลังจากนั้นเวลาเดินผ่านแล้วมองเข้าไปคือหลอนแล้วไม่ชอบตลอด,neg
อิเห้เอ้ย แพ้ผ้าอนามัยขนาดใส่แบบบอบบางไม่ระคายเคืองแล้วนะ ยังแพ้อ่ะเมิ่ง #นอนเกาตูดวนไป #ผื่นขึ้น #เกาจนแสบ555,neg
ไอ้พวกนี้มันช่างโง่เง่าดั้นด้นค้นหาสิ่งเสพติดทำร้ายร่างกายชีวิตกันซะจริงๆนะของดีๆมีประโยชน์ไม่หามากินมากันมั่ง,neg
Fullmoon alcohol 5% กูก็คิดว่าคงไม่เมาหรอก ก็หวานดีหอมดีกินเรื่อยๆ รู้ตัวอีกทีแม่งกินไปห้าขวด โอ้วโหจั๊กง่าวววว,neg
กระบะโตโยต้าทุกรุ่นแม่งห่วยแตกทุกรุ่น ร่อนดีนักแล ข้ามเกาะกลางถนนบ่อยมาก ยิ่งฝนตกปอยๆ เรื่องแฉลบต้องยกให้เขาเลย,neg
ก็ว่าลืมอะไรตอนไปเกาครั้งล่าสุด ลืมซื้อลิปกะทิ้นของโฮลิก้า เสียดายเว่อ คือดูสีอะไรไว้หมดละ เพิ่งนึกได้ด้วยเนี่ย,neg
กูแพ้คิงแล้วไม่รู้จะขายอะไรเลยจะมาช่วยแบคแมคขายไก่ผสมนกอะไรของมันนี่แหละราคาไม่รู้แดกได้เชื่อกูมากสุดก็ท้องเสีย,neg
ขับอีโค่ของฮอนด้า แล้วไปขับกระบะของบริษัท เป็นดีแมกซ์พวงมาลัยพาวเวอร์แข็งมาก ช่วงยูเทิร์นหมุนจนปวดแขนเลยทีเดียว,neg
"เจ้านายถามว่า ""ทำไมเอก เสียงหาย"" ป่าว ก็คุณเอาให้กิน ทั้งสิงห์ ทั้งช้าง ทั้งRad ทั้งไวน์ ไม่ตายก็บุญแค่ไหนแล้ว?",neg
เด่วนะ family mart ขาย เบียร์ ช้าง ทำไมไม่เดือดกัน #โลกสวยไปอีก #คนไทย ชอบมองว่าสิ่งนั้นไม่ดีไม่งาม #แต่ใจสกปรก,neg
โตโยต้าอะไล่ก็แพงเหมือนกันถ้าเบิกศูนย์แต่นี้มันมีของไตหวันเยอะของมันเลยถูก ส่วนฮอนด้ามันมีแต่ของศูนย์เลยแพงง่าย,neg
